Datetime,PJME_MW,Log_MW,Log_Diff,Log_Diff_Monthly,day_of_week,month,year,is_weekend,is_holiday,lag_1,lag_7,lag_30,roll_mean_7,roll_std_7
2010-09-16,31157.0,10.346794218071167,0.0231760130512519,-0.0110991372712678,3,9,2010,0,0,30443.20833333333,31248.375,41861.54166666666,29617.601190476187,1833.6863599278622
2010-09-17,31408.5,10.35483383590048,0.0080396178293131,0.1463582574677691,4,9,2010,0,0,31157.0,29684.166666666668,36453.91666666666,29863.934523809523,1955.8698322855616
2010-09-18,26866.33333333333,10.198629232801752,-0.1562046030987289,-0.2136270775569482,5,9,2010,1,0,31408.5,27522.33333333333,38608.458333333336,29770.220238095233,2097.3634637938776
2010-09-19,27727.70833333333,10.230187493050286,0.0315582602485342,-0.0020638446996237,6,9,2010,1,0,26866.33333333333,26597.916666666668,39928.625,29931.619047619046,1840.2716691352234
2010-09-20,30636.5,10.3299473875648,0.0997598945145128,0.2179006636163301,0,9,2010,0,0,27727.70833333333,30889.58333333333,35479.416666666664,29895.464285714286,1820.696309748788
2010-09-21,29689.041666666668,10.298533289253252,-0.0314140983115471,-0.0347871228491403,1,9,2010,0,0,30636.5,31029.0,35599.291666666664,29704.041666666664,1750.7531266338417
2010-09-22,33928.125,10.431999595420216,0.1334663061669658,0.1385471766895278,2,9,2010,0,0,29689.041666666668,30443.20833333333,35418.875,30201.8869047619,2378.8086142956668
2010-09-23,35582.125,10.479598684000749,0.0475990885805295,0.149537835756659,3,9,2010,0,0,33928.125,31157.0,31986.25,30834.047619047615,3140.8521480811532
2010-09-24,37298.41666666666,10.526706156116104,0.047107472115357,0.0302867195611984,4,9,2010,0,0,35582.125,31408.5,32528.83333333333,31675.464285714286,3993.5763189956706
2010-09-25,34950.541666666664,10.461689245872808,-0.0650169102432958,-0.1275189460924455,5,9,2010,1,0,37298.41666666666,26866.33333333333,34626.833333333336,32830.35119047619,3510.791835858914
2010-09-26,27684.25,10.228618938407903,-0.2330703074649047,-0.1715835215754122,6,9,2010,1,0,34950.541666666664,27727.70833333333,32561.875,32824.142857142855,3521.341586660109
2010-09-27,31590.83333333333,10.360622273104203,0.1320033346963001,0.1875252562744567,0,9,2010,0,0,27684.25,30636.5,30803.25,32960.47619047619,3440.0640276579707
2010-09-28,33790.833333333336,10.427944841533066,0.067322568428862,-0.0261945764057554,1,9,2010,0,0,31590.83333333333,29689.041666666668,33822.875,33546.44642857143,3124.844646482593
2010-09-29,30956.5,10.340338272217526,-0.0876065693155396,-0.2574994850498608,2,9,2010,0,0,33790.833333333336,33928.125,40086.125,33121.92857142857,3263.1416478003625
2010-09-30,33610.625,10.422597516202307,0.0822592439847831,0.03207261775173,3,9,2010,0,0,30956.5,35582.125,42149.25,32840.28571428572,3096.222411287162
2010-10-01,30218.08333333333,10.316195810034197,-0.1064017061681124,-0.1425386383818416,4,10,2010,0,0,33610.625,37298.41666666666,43700.25,31828.80952380952,2495.295055089853
2010-10-02,25384.58333333333,10.141897313354066,-0.1742984966801302,-0.189561764887431,5,10,2010,1,0,30218.08333333333,34950.541666666664,44372.375,30462.244047619046,3056.9406190121254
2010-10-03,24755.83333333333,10.116816430461949,-0.0250808828921194,0.0809500066048407,6,10,2010,1,0,25384.58333333333,27684.25,39908.375,30043.898809523806,3644.404359947972
2010-10-04,28368.45833333333,10.253033184885858,0.136216754423911,0.3738132623979382,0,10,2010,0,0,24755.83333333333,31590.83333333333,31468.58333333333,29583.559523809523,3619.871254509539
2010-10-05,28883.70833333333,10.271032989657373,0.0179998047715148,0.181053334867526,1,10,2010,0,0,28368.45833333333,33790.833333333336,26734.0,28882.54166666666,3108.307790519375
2010-10-06,28608.33333333333,10.261453329657783,-0.0095796599995896,-0.0671617404841189,2,10,2010,0,0,28883.70833333333,30956.5,28318.58333333333,28547.089285714283,2970.848724581383
2010-10-07,28649.20833333333,10.26288108941672,0.0014277597589362,-0.2563287155114384,3,10,2010,0,0,28608.33333333333,33610.625,36644.91666666666,27838.315476190473,1992.0745068333683
2010-10-08,28202.08333333333,10.247151131265989,-0.0157299581507324,-0.0713494075215912,4,10,2010,0,0,28649.20833333333,30218.08333333333,38740.833333333336,27550.315476190473,1717.487944870477
2010-10-09,25653.416666666668,10.15243204510695,-0.0947190861590367,0.120207707685644,5,10,2010,1,0,28202.08333333333,25384.58333333333,31248.375,27588.720238095233,1663.1342871950128
2010-10-10,24760.70833333333,10.117013334359177,-0.0354187107477734,0.0159348692934351,6,10,2010,1,0,25653.416666666668,24755.83333333333,29684.166666666668,27589.416666666664,1661.750766845832
